DemandResponseElec,fraction,0.20000000000000001,0.20000000000000001,Rakipour2019_FilippiniLecture
DemandResponseCool,fraction,0.10000000000000001,0.10000000000000001,Rakipour2019
DemandResponseHeat,fraction,0.10000000000000001,0.10000000000000001,Rakipour2019
InterestRate,factor,0.040000000000000001,Waibel2019CoSimu,
lca_GridElectricity,kgCO2eq/kWh,0.049000000000000002,Mavromatidis2021,
lca_NaturalGas,kgCO2eq/kWh,0.22800000000000001,KBOB2016,
lca_Biomass,kgCO2eq/kWh,0.027,KBOB2016,
lca_PV_mono,kgCO2eq/sqm,33.204099999999997,Mueller2021,
lca_PV_cdte,kgCO2eq/sqm,30.255999999999997,Mueller2021,
lca_Battery,kgCO2eq/kWh,157,Murray2019,
lca_TES,kgCO2eq/kWh,4.7000000000000002,Murray2019,
lca_ASHP,kgCO2eq/kW,75,Murray2019,
lca_CHP,kgCO2eq/kW,100,Murray2019,
lca_Boiler,kgCO2eq/kW,51,Murray2019,
lca_BiomassBoiler,kgCO2eq/kW,51,Murray2019,
lca_ElecChiller,kgCO2eq/kW,75,same_as_ASHP,
lca_DistrictHeating,kgCO2eq/m,2,KBOB2016,estimation
lca_HeatExchanger,kgCO2eq/kW,5,estimation,
lca_CoolingTower,kgCO2eq/kW,5,estimation,
CostPV_mono,CHF/sqm,230.63063063063063,ENFSolarDatabase,
CostPV_cdte,CHF/sqm,261.86186186186188,ENFSolarDatabase,
CostBattery,CHF/kWh,600,Murray2019,
CostTES,CHF/kWh,12.5,Murray2019,
CostBoiler,CHF/kW,620,Murray2019,
CostBiomassBoiler,CHF/kW,860,Murray2019,
CostCHP,CHF/kW,900,Murray2019,
CostElecChiller,CHF/kW,1020,same_as_ASHP,
CostASHP,CHF/kW,1020,Murray2019,
CostDistrictHeating,CHF/m,800,George2017PhD,
CostHeatExchanger,CHF/kW,100,George2017PhD,
CostCoolingTower,CHF/kW,240,HohmannCisbat,
FixCostPV_mono,CHF,900,Murray2019,
FixCostPV_cdte,CHF,900,Murray2019,
FixCostBattery,CHF,2000,Murray2019,
FixCostTES,CHF,1685,Murray2019,
FixCostBoiler,CHF,27600,Murray2019,
FixCostBiomassBoiler,CHF,27800,Murray2019,
FixCostCHP,CHF,5000,Murray2019,
FixCostElecChiller,CHF,18300,same_as_ASHP,
FixCostASHP,CHF,18300,Murray2019,
FixCostDistrictHeating,CHF,0,George2017PhD,
FixCostHeatExchanger,CHF,0,George2017PhD,
FixCostCoolingTower,CHF,0,HohmannCisbat,
minCapBattery,kWh,10,,
minCapTES,kWh,10,,
minCapBoiler,kW,50,,
minCapBioBoiler,kW,50,,
minCapCHP,kW,50,,
minCapElecChiller,kW,50,,
minCapASHP,kW,50,,
c_NaturalGas,CHF/kWh,0.12,Murray2019,
c_Biomass,CHF/kWh,0.125,Murray2019,
c_FeedIn,CHF/kWh,-0.12,Murray2019,
c_Grid,CHF/kWh,0.19500000000000001,Mavromatidis2021,
c_Grid_OffPeak,CHF/kWh,0.12675,Mavromatidis2021*0.65,
c_PV_OM,CHF/kWh,0,,
c_Battery_OM,CHF/kWh,0,,
c_TES_OM,CHF/kWh,0.01,,
c_Boiler_OM,CHF/kWh,0.01,,
c_BiomassBoiler_OM,CHF/kWh,0.01,,
c_CHP_OM,CHF/kWh,0.021000000000000001,,
c_ElecChiller_OM,CHF/kWh,0.01,,
c_ASHP_OM,CHF/kWh,0.01,,
LifetimePV_mono,years,35,Frischknecht2015,
LifetimePV_cdte,years,35,Frischknecht2015,
LifetimeBattery,years,11,Murray2019,
LifetimeTES,years,20,Murray2019,
LifetimeASHP,years,15,Murray2019,
LifetimeCHP,years,11,Murray2019,
LifetimeBoiler,years,25,Murray2019,
LifetimeBiomassBoiler,years,25,Murray2019,
LifetimeElecChiller,years,15,same_as_ASHP,
LifetimeDistrictHeating,years,40,George2017PhD,4.9000000000000004,HohmannCisbat
LifetimeHeatExchanger,years,20,George2017PhD,5.7999999999999998,HohmannCisbat
LifetimeCoolingTower,years,40,estimation,500000,estimation
hp_supplyTemp,deg C,65,,,
a_boi_eff,factor,0.84999999999999998,Murray2019,,
a_bmboi_eff,factor,0.84999999999999998,Murray2019,,
c_ElecChiller_eff_clg,factor,4,ShanShanSingapore,,
c_ElecChiller_eff_htg,factor,4.9000000000000004,ShanShanSingapore,,
b_MaxBiomassAvailable,kWh/year,0,Singapore,,
c_chp_eff,factor,0.29999999999999999,Waibel2019CoSimu,,
c_chp_htp,heat-to-power factor,1.73,Waibel2019CoSimu,,
b_MaxBattery,kWh/m2 floor area,0.20000000000000001,estimation,,
bat_ch_eff,factor,0.92000000000000004,Murray2019,,
bat_disch_eff,factor,0.92000000000000004,Murray2019,,
bat_decay,factor,0.001,Murray2019,,
bat_max_ch,factor,0.29999999999999999,Waibel2019CoSimu,,
bat_max_disch,factor,0.33000000000000002,Waibel2019CoSimu,,
bat_min_state,factor,0,district assume no min state,,
b_MaxTES,kWh/m2 floor area,0.69999999999999996,Waibel2019CoSimu,,
tes_ch_eff,factor,0.81000000000000005,Murray2019,,
tes_disch_eff,factor,0.81000000000000005,Murray2019,,
tes_decay,factor,0.001,Murray2019,,
tes_max_ch,factor,0.25,Waibel2019CoSimu,,
tes_max_disch,factor,0.25,Waibel2019CoSimu,,
TotalFloorArea,m2,5352813.108,CalculatedConditionedFloor,,
GridLengthDistrictHeating,m,12000,CalculatedNetworkLayout,,
pv_n_ref_mono,frac,0.252,Frischknecht2015,,
pv_n_ref_cdte,frac,0.22600000000000001,Frischknecht2015,,
